word,count
SONA,65
THE,55
RT,53
TO,36
SA,34
OF,30
ANG,20
NA,19
NG,14
AND,14
5TH,13
MGA,12
FOR,11
IN,11
DUTERTE,10
DUTERTES,10
WE,9
WITH,8
MY,8
PRESIDENT,8
2020,7
NI,7
COVID19,7
THAT,7
THIS,7
MAY,6
I,6
A,6
AMP;,6
HIS,5
ON,5
PA,5
TAG,5
UP,5
IS,5
ROA,4
SONA2020,4
YOU,4
KO,4
FIRST,4
YA,4
YUNG,4
RIN,4
STUDENT,4
STATE,4
SI,4
RODRIGO,4
THEY,4
WAY,4
DI,4
KA,4
PRES,4
WOULD,3
OWN,3
ONE,3
SONAGKAISA,3
HER,3
SILA,3
FROM,3
ITS,3
BEFORE,3
HIM,3
DAPAT,3
ARAW,3
PRESS,3
CONGRESS,3
THA,3
KHARAASONA,3
DURING,3
EVERYONE,3
IF,3
COUNCIL,3
LIKE,3
ME,3
RAPPLERDOTCOM:,3
NAMAN,3
GLOBE,3
LANG,3
AT,3
RIGHTS,2
EXECUTIVE,2
PROTESTA,2
PRESIDENTS,2
HOGA,2
PANGULO,2
RELATED,2
WHICH,2
HINDI,2
SAAN,2
5,2
HA,2
EARLIER,2
BA,2
NO,2
MARACEPEDA,2
THALAAJITHFC,2
POSTSONA,2
NADINE,2
REACT,2
NANGA,2
PALA,2
ONLY,2
KAR,2
MESSAGE,2
WAR,2
CNNPHILIPPINES:,2
PAGE,2
BAYANIHAN,2
THROUGH,2
KACHRA,2
WAG,2
GIVE,2
SHARES,2
OFWS,2
PROTEST,2
AFTERNOON,2
AKO,2
EVEN,2
SAID,2
GMANEWS:,2
TEST,2
AS,2
LA,2
HAVE,2
AFTER,2
AGAINST,2
PASSAGE,2
LOOK:,2
BUT,2
QUE,2
DILIMAN,2
KU,2
LEADER,2
PERO,2
KATRINADOMINGO,2
DRILON,2
PANDEMIC,2
YOUR,2
WALANG,2
WONT,2
MABUTI,2
WERE,2
KUNG,2
PARA,2
TAPOS,2
COVID,2
FC,2
TE,2
HUMAN,2
AGAIN,2
HERE,2
【ジェジュン】,2
MUJHE,2
GET,2
F…,2
GROUPS,2
HE,2
TOTALLY,2
NGAYONG,2
ZUBIRI,2
ALSO,2
WHAT,2
PERSONA,2
BHAI,2
|,2
FANS,2
THALAAJITH,2
RESPONSE,2
PLEASE,2
NATION,2
SAME,2
BILLS,2
ACT,2
CLEAR,2
WAKASONA2020,2
LAW,2
HELD,2
ABOUT,2
SENATE,2
DONT,2
WHY,2
VALIMAI,2
SABI,2
TAYO,2
MATAPOS,2
ANCALERTS:,2
GOVERNMENTS,2
21,2
SIYA,2
AJITHKUMAR,2
CAN,2
COVERS,2
OUR,2
TOWERNAMBA:,2
WAS,2
NEW,2
TAYONG,2
PROVIDED,2
DISCUSSIONS,2
STEP,2
REQUEST,2
BE,2
NAKITA,2
FRANKLIN,2
REAPERSZN,2
REACH,2
TIME,2
TWEET,2
HEALTH,2
KANYANG,2
UPDATE,2
CALLS,1
STRONG,1
USAPINGLACSON:,1
BENOKCASTILLO:,1
1969ENIGMA:,1
MAZA,1
PRRD,1
THANK,1
PANAWAGAN,1
HTTPS://TCO/GNUEG7G1LG,1
DISPLACED,1
VIOLATION,1
ELAN,1
TWITTER,1
27,1
DIPIKAKAKAR,1
ATAYDE,1
ITO,1
POLICIES,1
DO,1
INJECTION,1
CONFERENCE,1
WATCHMEJAYJAY:,1
MARKET,1
😯😯,1
SIN,1
MAINEDCM,1
嫌いなジャ…,1
BAGONG,1
GATHER,1
IKUMPARA,1
KENDISININ,1
NATIONWIDE,1
AFFECTED,1
OVER,1
QUEZON,1
TAB…,1
RANTS,1
SUTHUNGA,1
NAGKAROON,1
SUPPLEMENT,1
STANDS,1
KALABAN,1
INVESTED,1
MEASURES,1
DEGI,1
HTTPS://TCO/NIEAEXKBCU,1
FILMMAKERS,1
HARRY,1
OPPORTUNITIES,1
“HINDI,1
TELCOS,1
ROHITME,1
WORKER,1
PAGBABAGO,1
SUMMARY,1
DESIGNATED,1
NISHACHARR,1
THESE,1
CANNOT,1
FUNDS,1
YESTERDAYS,1
NEIGHBORS,1
AMING,1
BILLI,1
“WALANG,1
YEAR,1
NEVERENDING,1
RAW,1
SCRIPT,1
JO,1
ALI,1
LIDER,1
AUDACITY,1
LINGERING,1
TAKE,1
VIA,1
EVANU,1
THREAT,1
QUARKHENARES:,1
KALAUNAN,1
CREATIVE,1
WIL…,1
SIKHA,1
TREATMENT,1
LEGA,1
DECIRTE,1
AYON,1
BATAS,1
ARTFIGHT,1
CAMPUS,1
S,1
CURRENT,1
MAJORITY,1
TRENDS,1
MAG,1
NIYO,1
ANTES,1
😅,1
ESPECIALLY,1
SUMAILALIM,1
WHOLE,1
RECOVER,1
SB19NIZED:,1
DAILYGUARDIANPH:,1
HOLDING,1
ABSOLUTALBERT:,1
YAN,1
INDIA,1
T…,1
WORKERS,1
HTTPS://TCO/YVEOXWQ0GT,1
OFFICIALS,1
THOUGHTS,1
ADMIN,1
ERBAŞ,1
DAW,1
ONLINE,1
HOUR,1
SEEING,1
